Name,Roll Number,Class,DOB,Contact
Elvis Federico,509974,S4,24/03/1997,4651101523
Sherryl Moffitt,486271,S4,25/03/1997,4520577135
Allie Hargrove,885266,S4,01/04/1997,3271304608
Nelly Stoops,257852,S4,07/05/1997,7584568588
Marshall Herriott,324162,S4,13/05/1997,7873813359
Raquel Duck,574021,S4,20/05/1997,9787842232
Henriette Umfleet,65048,S4,05/06/1997,2812915965
Tonita Aceuedo,214435,S4,26/07/1997,5621225184
Vincenzo Viger,521380,S5,09/08/1997,5831184766
Tabatha Salzano,892625,S5,20/08/1997,7638616385
Lori Sea,450711,S5,10/09/1997,8819372748
Ninfa Feliciano,800192,S5,17/09/1997,1419244663
Ma Defilippo,314901,S5,05/11/1997,1984136522
Laurel Heiser,788271,S5,07/12/1997,3692583833
Denisse Partain,547276,S5,12/05/1996,2455092142
Mistie Koenig,522254,S5,30/05/1996,4007512587
Arletta Schapiro,917790,S5,07/07/1996,7533031163
Olene Townley,371904,S5,24/07/1996,5099488502
Harlan Hullinger,141326,S5,02/08/1996,5255411225
Cyndy Eisenbarth,401053,S5,13/08/1996,3842344853
Lavonna Dominick,360221,S5,08/09/1996,8673329153
Murray Reels,282365,S5,28/11/1996,3734158750
Basilia Doughty,288347,S5,02/12/1996,7960708961
Lavonne Brayton,892821,S5,14/12/1996,3845132300
Joanne Laiche,153465,S5,22/12/1996,6783335785
Romeo Didier,855841,S5,06/01/1997,6339144299
Tenesha Mitchel,234563,S5,19/03/1997,4330876479
Hien Selander,578181,S5,24/03/1997,2315329353
Kristy Eisner,638171,S5,11/05/1997,9645983492
Andria Wynter,180439,S5,04/06/1997,7459118628
Tomeka Morais,370291,S5,02/09/1997,9515822309
Rina Serafini,849567,S5,08/09/1997,6009284754
Prudence Fuhrman,540261,S5,15/09/1997,9238794312
Sally Ivory,366753,S5,24/09/1997,2993195009
Marchelle Prim,904855,S5,29/09/1997,4752095428
Kenyetta Carruth,990043,S5,15/10/1997,3519878346
Rayford Treadway,616711,S5,30/11/1997,3100708963
Olen Bassi,291797,S5,24/12/1997,9670784723
Marisela Mathes,234521,S5,30/12/1997,9867958458
